x,y
813.3715515136719,418.2614440917969
817.7472229003906,418.25315856933594
822.1228942871094,418.244873046875
826.4985656738281,418.23658752441406
830.8743286132812,418.2283020019531
835.25,280.2199935913086
835.25,284.5324935913086
835.25,288.8449935913086
835.25,293.1574935913086
835.25,297.4699935913086
835.25,301.7824935913086
835.25,306.0949935913086
835.25,310.4074935913086
835.25,314.7199935913086
835.25,319.0324935913086
835.25,323.3449935913086
835.25,327.6575164794922
835.25,331.9700164794922
835.25,336.2825164794922
835.25,340.5950164794922
835.25,344.9075164794922
835.25,349.2200164794922
835.25,353.5325164794922
835.25,357.8450164794922
835.25,362.1575164794922
835.25,366.4700164794922
835.25,370.7825164794922
835.25,375.0950164794922
835.25,379.4075164794922
835.25,383.7200164794922
835.25,388.0325164794922
835.25,392.3450164794922
